Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.85,0.07
kexAB (s^-1),5093,634
R1 (s^-1),1.89,0.05
R2 (s^-1),33.72,0.23
Red. Chi-sq,0.80
