Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.28,1.01
kexAB (s^-1),2425,1523
R1 (s^-1),3.23,0.16
R2 (s^-1),30.56,0.53
Red. Chi-sq,1.46
