Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.07,0.07
kexAB (s^-1),1957,179
R1 (s^-1),2.94,0.07
R2 (s^-1),28.14,0.27
Red. Chi-sq,0.43
