Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.21,0.10
kexAB (s^-1),2477,163
R1 (s^-1),1.23,0.13
R2 (s^-1),29.09,0.25
Red. Chi-sq,0.22
