Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.40,0.08
kexAB (s^-1),2477,163
R1 (s^-1),1.04,0.11
R2 (s^-1),20.86,0.21
Red. Chi-sq,0.22
