Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.89,0.22
kexAB (s^-1),3235,666
R1 (s^-1),1.63,0.11
R2 (s^-1),23.95,0.27
Red. Chi-sq,0.32
