Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),1.87,0.07
kexAB (s^-1),270,16
R1 (s^-1),4.54,0.03
R2 (s^-1),21.00,0.03
Red. Chi-sq,0.38
