Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.551,0.017
dwB (ppm),2.87,0.09
kexAB (s^-1),2435,126
R1 (s^-1),1.27,0.12
R2 (s^-1),28.84,0.22
Red. Chi-sq,0.17
