Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.551,0.017
dwB (ppm),3.04,0.08
kexAB (s^-1),2435,126
R1 (s^-1),1.09,0.10
R2 (s^-1),20.58,0.19
Red. Chi-sq,0.17
