Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),-1.57,0.01
kexAB (s^-1),10,2
R1 (s^-1),1.20,0.09
R2 (s^-1),7.92,0.11
Red. Chi-sq,1.46
