Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),5.04,1.53
kexAB (s^-1),3047,2775
R1 (s^-1),1.98,0.22
R2 (s^-1),19.41,0.55
Red. Chi-sq,1.81
