Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.45,1.40
kexAB (s^-1),3047,2775
R1 (s^-1),2.31,0.20
R2 (s^-1),28.78,0.53
Red. Chi-sq,1.81
