Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.99,0.05
kexAB (s^-1),4616,407
R1 (s^-1),3.33,0.10
R2 (s^-1),23.75,0.42
Red. Chi-sq,0.54
