Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),3.75,0.00
kexAB (s^-1),16,1
R1 (s^-1),2.73,0.08
R2 (s^-1),20.10,0.07
Red. Chi-sq,0.50
