Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.700,2.700
dwB (ppm),2.37,0.02
kexAB (s^-1),2421,39
R1 (s^-1),2.66,0.12
R2 (s^-1),25.18,0.24
Red. Chi-sq,0.10
