Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.700,2.700
dwB (ppm),2.85,0.01
kexAB (s^-1),2421,39
R1 (s^-1),1.47,0.11
R2 (s^-1),17.82,0.21
Red. Chi-sq,0.10
