Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-200.0,200.0,46.7281610966,2.45093294846,92.90012650850247,4.901865896920001,48.71123307121336,96.8662704577292,-1.9830719746133596,-3.9661439492267334
-250.0,200.0,40.3368742905,2.6342316411,102.49418461206633,6.75021858031875,40.488836818932675,102.88358859117507,-0.15196252843267644,-0.38940397910873514
-50.0,200.0,75.2896216722,3.74759178608,79.9604607964189,3.98181627271,74.8054759796118,79.44605599804395,0.48414569258819995,0.5144047983749545
-100.0,200.0,66.2437280412,3.08699117411,82.6656111303256,3.8587389676374992,68.23257517038782,85.15167004181038,-1.9888471291878176,-2.4860589114847755
-150.0,200.0,56.6739270366,2.76065309086,88.24015092204512,4.313520454468749,58.392207544437014,90.92496421554046,-1.7182805078370151,-2.6848132934953384
0.0,200.0,74.058064818,3.58245048467,74.058064818,3.58245048467,73.77015621472599,73.77015621472599,0.287908603274019,0.287908603274019
400.0,200.0,9.8501668918,1.93692165572,47.02605172020984,9.684608278599999,10.50838669751668,50.31715074879324,-0.6582198057166799,-3.291099028583396
600.0,200.0,4.28927080608,1.91969691958,37.88694689852214,19.196969195799994,5.024283778572971,45.23707662345184,-0.7350129724929708,-7.350129724929701
-350.0,200.0,28.3664182122,2.60354541844,113.53522470267626,10.576903262412497,28.64336390094698,114.66031656321087,-0.2769456887469808,-1.12509186053461
-300.0,200.0,32.4472290369,2.75460948154,104.20205407935552,8.952480815005,33.8860672996408,108.87827843326313,-1.438838262740802,-4.676224353907614
-400.0,200.0,24.2572439494,2.11441228785,119.06143700820982,10.572061439249998,24.429660166127405,119.92351809184684,-0.17241621672740592,-0.8620810836370225
-400.0,200.0,26.5509152179,2.37111788468,130.5297933507098,11.855589423399998,24.42331177766491,119.89177614953438,2.127603440235088,10.63801720117543
-500.0,200.0,18.9107760135,1.8578781789,133.6269030685154,13.469616797025001,18.040195303357805,127.31519291998448,0.8705807101421961,6.311710148530906
-450.0,200.0,21.6757444591,2.24016973166,128.59346012951247,13.58102899818875,20.961606111256728,124.26399639571262,0.7141383478432708,4.329463733799841
-600.0,200.0,13.8329252264,2.06259248664,133.3234911017221,20.62592486639999,13.343880481528716,128.43304365300926,0.48904474487128446,4.890447448712848
-550.0,200.0,15.8717212712,1.99327474097,131.69538351912487,17.067414969555625,15.530022358163958,128.76958657625377,0.3416989130360424,2.925796942871102
200.0,200.0,27.7733801828,2.23058543641,54.99056468090247,4.461170872820001,29.432479361482258,58.30876303826699,-1.6590991786822578,-3.3181983573645155
100.0,200.0,51.4911635222,2.66881115276,64.2249054815756,3.3360139409499996,51.81605505235226,64.63101989426593,-0.32489153015226435,-0.40611441269032866
0.0,400.0,67.1674457381,3.18190632191,67.1674457381,3.18190632191,66.44866913604726,66.44866913604726,0.718776602052742,0.718776602052742
-300.0,400.0,56.1779562506,2.79026427336,87.46519656892012,4.359787927125,56.21249566026216,87.51916439651724,-0.03453940966215896,-0.05396782759711982
-350.0,400.0,51.7035147155,2.82872989845,90.86318084845813,4.9944762269507805,51.603039579208925,90.68577943594421,0.10047513629107385,0.17740141251391606
-200.0,400.0,65.2798363716,2.80040184539,81.4607465433256,3.5005023067374994,64.44738020935314,80.42017634051703,0.8324561622468565,1.040570202808567
-250.0,400.0,60.8542218762,2.52358742118,84.40813835725567,3.5093637575784378,60.61086188877148,84.06971587473788,0.24335998742851928,0.3384224825177853
-100.0,400.0,69.9709285576,3.2725236929,74.30934936215641,3.4770564237062502,68.8850978154842,73.15565419865837,1.085830742115803,1.1536951634980426
-150.0,400.0,68.6431622054,3.5310590439,78.21789187237378,4.027614221948437,67.37343862201907,76.7696134100799,1.2697235833809373,1.4482784622938851
-400.0,400.0,46.8765354408,2.72611230394,93.19687519690247,5.452224607880001,47.036428151567065,93.5166606184366,-0.15989271076706757,-0.31978542153413514
-400.0,400.0,46.453959513,2.88377738352,92.35172334130247,5.767554767040001,47.02968039317301,93.50316510164849,-0.5757208801730087,-1.1514417603460174
800.0,400.0,8.24045850361,1.82013440363,38.97750977925984,9.100672018149998,8.704533240016419,41.29788346129193,-0.4640747364064186,-2.3203736820320913
1000.0,400.0,6.18212035947,1.79137995624,41.344149576797875,12.98750468274,5.872374922586486,39.0984951593924,0.30974543688351375,2.2456544174054756
1200.0,400.0,4.64125828882,1.35274166456,41.40682172592213,13.527416645599994,4.2501263902535955,37.49550274025809,0.39113189856640407,3.911318985664039
200.0,400.0,42.4782592437,2.81845485493,52.95877513345061,3.5230685686624996,44.792301905392364,55.85132846056606,-2.314042661692362,-2.8925533271154507
350.0,400.0,29.627197401,2.2043991201,51.88468309004408,3.892142196426563,28.798175354741915,50.42094103961964,0.8290220462580855,1.463742050424436
500.0,400.0,17.210285203,2.0389076354,43.232300075347595,5.224700815712501,18.46657576084558,46.451544629826884,-1.2562905578455776,-3.219244554479289
650.0,400.0,12.4737470759,2.1028366328,43.943531218294,7.6556396162875,12.3583099194466,43.52326782058084,0.11543715645339958,0.4202633977131569
-1000.0,400.0,10.7577285429,1.91475803213,74.51730890666539,13.8819957329425,11.016877751758694,76.39614067089092,-0.25914920885869286,-1.8788317642255237
-850.0,400.0,17.1660994086,1.71779425994,92.17019591184702,9.47470896498156,16.179133928665024,86.72646443658067,0.9869654799349767,5.443731475266347
-700.0,400.0,22.995220711,1.97214289762,91.71473485405127,8.011830521581247,23.858247656299767,95.22078181933156,-0.8630269452997652,-3.506046965280291
-650.0,400.0,26.8286440279,2.06420169501,96.204327934169,7.514984295895781,27.033509132043566,96.95016495394167,-0.20486510414356474,-0.7458370197726651
-600.0,400.0,29.8914727303,2.05728923784,95.89584608290552,6.68619002298,30.51399164204948,97.91903254609134,-0.6225189117494807,-2.023186463185823
-550.0,400.0,33.4109429269,2.31967958838,95.52694943168903,6.705323810160939,34.27715932518222,98.03085620797357,-0.8662163982822193,-2.5039067762845377
-500.0,400.0,37.8319227835,2.52780889073,96.07524637537884,6.477510282495625,38.31357901383151,97.30949046560333,-0.4816562303315095,-1.234244090224493
-450.0,400.0,43.6511045956,2.60076104209,98.19309868596092,5.892349235985154,42.582024180911155,95.7709633714315,1.0690804146888482,2.422135314529413
50.0,400.0,62.4016865456,3.08892205173,63.3680223403016,3.1371864587882814,62.50586955622046,63.473833210463006,-0.10418301062045998,-0.105810870161406
