Fit #1
ac8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.03,0.05
kexAB (s^-1),4855,308
R1 (s^-1),2.51,0.11
R2 (s^-1),29.51,0.31
Red. Chi-sq,0.37
