Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.18,0.05
kexAB (s^-1),4855,308
R1 (s^-1),2.29,0.08
R2 (s^-1),19.11,0.29
Red. Chi-sq,0.37
