Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),4.95,0.12
kexAB (s^-1),630,21
R1 (s^-1),2.50,0.06
R2 (s^-1),19.89,0.09
Red. Chi-sq,0.40
