Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),4.91,0.16
kexAB (s^-1),630,21
R1 (s^-1),2.05,0.08
R2 (s^-1),13.92,0.11
Red. Chi-sq,0.40
