Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),3.73,0.24
kexAB (s^-1),1980,262
R1 (s^-1),2.15,0.03
R2 (s^-1),13.93,0.07
Red. Chi-sq,0.22
