Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),2.62,0.02
kexAB (s^-1),406,3
R1 (s^-1),4.42,0.03
R2 (s^-1),13.82,0.03
Red. Chi-sq,0.29
