Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.216,0.057
dwB (ppm),2.64,0.02
kexAB (s^-1),538,32
R1 (s^-1),4.45,0.03
R2 (s^-1),13.60,0.05
Red. Chi-sq,0.40
