Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),2.32,0.05
kexAB (s^-1),2988,157
R1 (s^-1),2.88,0.16
R2 (s^-1),12.73,0.43
Red. Chi-sq,0.92
