Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),0.31,0.02
kexAB (s^-1),1012,225
R1 (s^-1),1.53,0.06
R2 (s^-1),7.88,0.13
Red. Chi-sq,0.83
