Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.74,0.15
kexAB (s^-1),3236,405
R1 (s^-1),2.79,0.10
R2 (s^-1),24.13,0.29
Red. Chi-sq,0.45
