Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),4.03,0.13
kexAB (s^-1),153,8
R1 (s^-1),1.42,0.11
R2 (s^-1),22.12,0.13
Red. Chi-sq,0.59
