Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),4.18,0.21
kexAB (s^-1),153,8
R1 (s^-1),1.62,0.14
R2 (s^-1),31.55,0.17
Red. Chi-sq,0.59
