Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),1.85,0.07
kexAB (s^-1),158,9
R1 (s^-1),4.54,0.03
R2 (s^-1),21.01,0.03
Red. Chi-sq,0.38
