Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.71,0.06
kexAB (s^-1),6663,779
R1 (s^-1),3.51,0.09
R2 (s^-1),18.21,0.40
Red. Chi-sq,1.07
