Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.72,0.07
kexAB (s^-1),6663,779
R1 (s^-1),2.97,0.12
R2 (s^-1),12.19,0.53
Red. Chi-sq,1.07
