Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),3.69,0.16
kexAB (s^-1),90,5
R1 (s^-1),1.66,0.14
R2 (s^-1),31.70,0.16
Red. Chi-sq,0.57
