Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),3.92,0.13
kexAB (s^-1),90,5
R1 (s^-1),1.46,0.11
R2 (s^-1),22.18,0.13
Red. Chi-sq,0.57
