Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.40,0.10
kexAB (s^-1),249,9
R1 (s^-1),0.99,0.17
R2 (s^-1),30.03,0.17
Red. Chi-sq,0.55
