Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.89,0.11
kexAB (s^-1),586,21
R1 (s^-1),0.31,0.13
R2 (s^-1),22.06,0.19
Red. Chi-sq,0.44
