Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.04,0.13
kexAB (s^-1),259,13
R1 (s^-1),1.40,0.11
R2 (s^-1),22.10,0.14
Red. Chi-sq,0.60
