Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.17,0.21
kexAB (s^-1),259,13
R1 (s^-1),1.60,0.14
R2 (s^-1),31.55,0.17
Red. Chi-sq,0.60
