Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.040,0.040
dwB (ppm),6.97,15.79
kexAB (s^-1),4413,23458
R1 (s^-1),4.20,1.34
R2 (s^-1),37.03,3.56
Red. Chi-sq,8.83
