Fit #1
ac1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.78,0.07
kexAB (s^-1),48,4
R1 (s^-1),1.63,0.11
R2 (s^-1),22.36,0.13
Red. Chi-sq,0.68
