Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),3.58,0.07
kexAB (s^-1),665,16
R1 (s^-1),1.15,0.06
R2 (s^-1),18.21,0.08
Red. Chi-sq,0.19
