Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),3.04,0.05
kexAB (s^-1),665,16
R1 (s^-1),1.31,0.06
R2 (s^-1),27.53,0.09
Red. Chi-sq,0.19
