Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.15,0.09
kexAB (s^-1),1732,124
R1 (s^-1),5.06,0.18
R2 (s^-1),11.61,0.33
Red. Chi-sq,7.30
