Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.151,0.057
dwB (ppm),2.13,0.44
kexAB (s^-1),3147,682
R1 (s^-1),2.54,0.05
R2 (s^-1),20.51,0.13
Red. Chi-sq,0.23
