Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.07,0.13
kexAB (s^-1),81,5
R1 (s^-1),1.36,0.12
R2 (s^-1),22.01,0.15
Red. Chi-sq,0.63
