Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.72,0.17
kexAB (s^-1),2788,224
R1 (s^-1),2.46,0.07
R2 (s^-1),13.48,0.14
Red. Chi-sq,0.23
