Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.79,0.34
kexAB (s^-1),3325,569
R1 (s^-1),3.07,0.08
R2 (s^-1),19.70,0.19
Red. Chi-sq,0.54
