Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.47,0.04
kexAB (s^-1),5074,693
R1 (s^-1),1.90,0.05
R2 (s^-1),33.79,0.25
Red. Chi-sq,0.91
