Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.81,0.02
kexAB (s^-1),43,2
R1 (s^-1),2.45,0.08
R2 (s^-1),30.15,0.12
Red. Chi-sq,0.37
