Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.28,0.09
kexAB (s^-1),5194,593
R1 (s^-1),1.98,0.06
R2 (s^-1),29.44,0.41
Red. Chi-sq,0.50
