Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),3.59,0.08
kexAB (s^-1),221,6
R1 (s^-1),1.13,0.08
R2 (s^-1),18.33,0.10
Red. Chi-sq,0.31
