Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.15,0.08
kexAB (s^-1),2867,239
R1 (s^-1),1.91,0.13
R2 (s^-1),17.03,0.27
Red. Chi-sq,0.79
