Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.14,0.11
kexAB (s^-1),5533,421
R1 (s^-1),1.65,0.23
R2 (s^-1),22.84,1.06
Red. Chi-sq,0.64
