Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.800,1.800
dwB (ppm),2.43,0.02
kexAB (s^-1),950,19
R1 (s^-1),4.82,0.07
R2 (s^-1),12.27,0.10
Red. Chi-sq,1.14
