Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),4.12,0.20
kexAB (s^-1),474,23
R1 (s^-1),1.58,0.14
R2 (s^-1),31.48,0.17
Red. Chi-sq,0.58
