Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),4.01,0.13
kexAB (s^-1),474,23
R1 (s^-1),1.38,0.11
R2 (s^-1),22.01,0.14
Red. Chi-sq,0.58
