Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.55,0.07
kexAB (s^-1),4137,275
R1 (s^-1),1.94,0.19
R2 (s^-1),26.85,0.53
Red. Chi-sq,0.53
