Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.52,0.06
kexAB (s^-1),4137,275
R1 (s^-1),1.87,0.14
R2 (s^-1),19.19,0.43
Red. Chi-sq,0.53
