Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.86,0.04
kexAB (s^-1),1055,27
R1 (s^-1),3.08,0.04
R2 (s^-1),19.62,0.10
Red. Chi-sq,0.44
