Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.01,0.04
kexAB (s^-1),1055,27
R1 (s^-1),2.41,0.04
R2 (s^-1),13.23,0.10
Red. Chi-sq,0.44
