Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),2.99,0.08
kexAB (s^-1),2837,0
R1 (s^-1),1.97,0.05
R2 (s^-1),14.58,0.12
Red. Chi-sq,0.14
