Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.11,0.01
kexAB (s^-1),31,1
R1 (s^-1),2.64,0.07
R2 (s^-1),20.24,0.07
Red. Chi-sq,0.41
