Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.32,0.15
kexAB (s^-1),1499,122
R1 (s^-1),2.76,0.09
R2 (s^-1),13.69,0.24
Red. Chi-sq,1.84
