Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.12,0.15
kexAB (s^-1),1499,122
R1 (s^-1),3.44,0.08
R2 (s^-1),20.10,0.23
Red. Chi-sq,1.84
